County;TotPrecincts;PrecinctsReporting;Bush;Kerry;Nader;
Plymouth;14;14;11864;14159;0;
Plympton;1;1;822;801;0;
Princeton;1;1;1011;1106;0;
Provincetown;1;1;284;2151;0;
Quincy;30;30;13364;24153;0;
Randolph;8;8;3738;9537;0;
Raynham;3;3;3083;3222;0;
Reading;8;8;5184;7226;0;
Rehoboth;3;3;2659;2881;0;
Revere;21;21;5351;10974;0;
Richmond;1;1;225;750;0;
Rochester;1;1;1364;1381;0;
Rockland;6;6;3652;4579;0;
Rockport;3;3;1637;2930;0;
Rowe;1;1;112;136;0;
Rowley;1;1;1645;1453;0;
Royalston;2;2;272;338;0;
Russell;1;1;383;389;0;
Rutland;2;2;1851;1771;0;
Salem;14;14;5529;12226;0;
Salisbury;2;2;1717;2197;0;
Sandisfield;1;1;133;267;0;
Sandwich;7;7;5977;5853;0;
Saugus;10;10;5561;7721;0;
Savoy;1;1;112;225;0;
Scituate;6;6;5070;5656;0;
Seekonk;4;4;3018;3910;0;
Sharon;5;5;2766;6689;0;
Sheffield;1;1;573;1207;0;
Shelburne;1;1;300;806;0;
Sherborn;1;1;1107;1494;0;
Shirley;1;1;1325;1533;0;
Shrewsbury;9;9;7104;8971;0;
Shutesbury;1;1;146;986;0;
Somerset;5;5;3210;6764;0;
Somerville;21;21;5208;24157;0;
South Hadley;5;5;3163;5333;0;
Southampton;1;1;1462;1677;0;
Southborough;3;3;2440;2915;0;
Southbridge;5;5;2514;3983;0;
Southwick;3;3;2313;2080;0;
Spencer;4;4;2504;2763;0;
Springfield;64;64;13028;33583;0;
Sterling;2;2;2249;2089;0;
Stockbridge;1;1;248;980;0;
Stoneham;7;7;4725;6921;0;
Stoughton;8;8;4865;8174;0;
Stow;1;1;1465;2194;0;
Sturbridge;2;2;2146;2466;0;
Sudbury;5;5;3597;6081;0;
Sunderland;1;1;379;1292;0;
Sutton;3;3;2478;2173;0;
Swampscott;6;6;2677;5188;0;
Swansea;5;5;3034;5253;0;
Taunton;16;16;7785;13170;0;
Templeton;2;2;1426;1866;0;
Tewksbury;8;8;6885;7730;0;
Tisbury;1;1;563;1653;0;
Tolland;1;1;128;109;0;
Topsfield;1;1;1889;1731;0;
Townsend;3;3;2421;2179;0;
Truro;1;1;392;1043;0;
Tyngsborough;4;4;2810;2749;0;
Tyringham;1;1;92;172;0;
Upton;1;1;1727;1961;0;
Uxbridge;4;4;3094;3456;0;
Wakefield;7;7;5633;7965;0;
Wales;1;1;415;466;0;
Walpole;8;8;6110;6496;0;
Waltham;18;18;8190;14468;0;
Ware;3;3;1654;2589;0;
Wareham;6;6;4094;5934;0;
Warren;1;1;1004;1151;0;
Warwick;1;1;123;269;0;
Washington;1;1;104;211;0;
Watertown;12;12;4186;10942;0;
Wayland;4;4;2591;5146;0;
Webster;5;5;2823;3573;0;
Wellesley;7;7;5120;8368;0;
Wellfleet;1;1;622;1437;0;
Wendell;1;1;69;429;0;
Wenham;1;1;1153;1075;0;
West Boylston;2;2;1774;1906;0;
West Bridgewater;2;2;1989;1666;0;
West Brookfield;1;1;889;963;0;
West Newbury;1;1;1183;1364;0;
