   County Total Precincts Precincts Reporting Bush Kerry Nader
   Nashville Plt. 1 1 12 18 0
   New Canada 1 1 54 104 1
   New Gloucester 1 1 1,555 1,438 36
   New Limerick 1 1 189 131 2
   New Portland 1 1 266 207 3
   New Sharon 1 1 377 424 27
   New Sweden 1 1 175 200 3
   New Vineyard 1 1 241 213 3
   Newburgh 1 1 469 402 7
   Newcastle 1 1 463 683 12
   Newfield 1 1 427 332 9
   Newport 1 1 947 656 14
   Newry 1 1 105 131 5
   Nobleboro 1 1 524 587 12
   Norridgewock 1 1 814 923 24
   North Berwick 1 1 1,343 1,177 37
   North Haven 1 1 108 157 3
   North Yarmouth 1 1 1,069 1,207 20
   Northfield 1 1 45 43 0
   Northport 1 1 435 499 13
   Norway 1 1 1,128 1,466 37
   Oakfield 1 1 217 153 7
   Oakland 1 1 1,501 1,716 42
   Ogunquit 1 1 408 604 7
   Old Orchrd Bch 1 1 2,095 3,240 51
   Old Town 4 4 1,674 2,729 41
   Orient 1 1 50 30 1
   Orland 1 1 548 749 15
   Orneville Twp 1 1 0 0 0
   Orono 4 4 1,576 3,649 49
   Orrington 1 1 1,248 1,017 17
   Osborn 1 1 37 14 0
   Otis 1 1 245 138 2
   Otisfield 1 1 505 491 17
   Owls Head 1 1 516 511 7
   Oxbow Plt. 1 1 23 21 0
   Oxford 1 1 1,028 952 23
   Palermo 1 1 435 336 13
   Palmyra 1 1 622 438 9
   Paris 1 1 1,274 1,374 34
   Parkman 1 1 254 163 7
   Parsonsfield 2 2 475 516 22
   Passadumkeag 1 1 131 73 4
   Patten 1 1 403 193 4
   Pembroke 1 1 224 264 3
   Penobscot 1 1 359 505 5
   Penobscot Nation Vot Dst 1 1 24 258 2
   Perham 1 1 144 102 0
   Perkins Twp. 1 1 7 5 0
   Perry 1 1 207 197 4
   Peru 1 1 386 535 12
   Phillips 1 1 281 271 4
   Phippsburg 1 1 676 713 22
   Pittsfield 1 1 1,087 986 17
   Pittston 1 1 815 766 17
   Pleasant Point Votng Dst 1 1 46 214 0
   Pleasant Ridge Plt. 1 1 28 29 1
   Plymouth 1 1 430 279 3
   Poland 1 1 1,465 1,490 33
   Portage Lake 1 1 135 136 0
   Porter 1 1 415 383 8
   Portland 18 18 9,438 26,754 384
   Pownal 1 1 445 557 9
   Prentiss Twp 1 1 51 31 0
   Presque Isle 1 1 2,268 2,309 57
   Princeton 1 1 258 182 5
   Prospect 1 1 200 184 5
   Randolph 1 1 486 585 8
   Rangeley 1 1 440 295 13
   Rangeley Plt. 1 1 63 44 0
   Raymond 1 1 1,335 1,314 33
   Readfield 1 1 725 893 27
   Reed Plt. 1 1 60 21 1
   Richmond 1 1 895 935 29
   Ripley 1 1 153 116 3
   Robbinston 1 1 131 151 4
   Rockland 1 1 1,497 2,077 47
   Rockport 1 1 872 1,224 18
   Rockwood Twp. 1 1 146 71 6
   Rome 1 1 283 312 10
   Roque Bluffs 1 1 67 93 0
   Roxbury 1 1 89 173 4
   Rumford 1 1 1,151 2,060 58
   Sabattus 1 1 1,212 1,269 27
   Saco 7 7 3,939 5,884 76
   Saint Agatha 1 1 123 377 0
   Sandy River Plt. 1 1 60 37 0
   Sanford 7 7 4,634 5,583 109
   Sangerville 1 1 363 323 7
   Scarborough 3 3 5,569 5,651 88
   Searsmont 1 1 357 377 4
   Searsport 1 1 724 756 9
   Sebago 1 1 554 498 10
   Sebec 1 1 242 148 2
   Seboeis Plt. 1 1 16 18 1
   Sedgwick 1 1 286 440 5
   Shapleigh 1 1 743 757 21
   Sherman 1 1 350 160 10
   Shirley 1 1 79 47 2
   Sidney 1 1 1,208 1,077 20
   Sinclair Twp 1 1 30 110 0
   Skowhegan 1 1 1,798 2,511 40
   Smithfield 1 1 268 297 12
   Smyrna 1 1 88 86 1
   Solon 1 1 256 303 9
   Somerville 1 1 167 119 7
   Sorrento 1 1 77 137 3
   South Berwick 1 1 1,848 2,173 28
   South Bristol 1 1 297 386 9
   South Portland 6 6 4,844 8,913 168
   South Thomaston 1 1 454 503 12
   Southport 1 1 285 256 3
   Southwest Harbor 1 1 525 707 19
   Springfield 1 1 95 84 5
   St. Albans 1 1 638 380 13
   St. Francis 1 1 87 252 1
   St. George 1 1 738 967 23
   St. John Plt. 1 1 57 123 3
   Stacyville 1 1 128 84 4
   Standish 1 1 2,721 2,436 45
   Starks 1 1 132 172 11
   Stetson 1 1 409 256 0
   Steuben 1 1 284 289 8
   Stockholm 1 1 45 86 0
   Stockton Springs 1 1 407 569 7
   Stoneham 1 1 77 99 2
   Stonington 1 1 226 474 10
   Stow 1 1 90 90 1
   Strong 1 1 353 309 26
   Sullivan 1 1 308 340 14
   Sumner 1 1 236 238 8
   Surry 1 1 418 531 7
   Swans Island 1 1 149 113 5
   Swanville 1 1 359 352 10
   Sweden 1 1 112 88 1
   T1-R9 Twp 1 1 0 0 0
   T17 R5 Twp (Grt/CrossLk) 1 1 43 68 0
   T3 ND Twp 1 1 2 2 0
   Talmadge 1 1 24 11 0
   Temple 1 1 132 208 10
   The Forks Plt. 1 1 35 15 0
   Thomaston 1 1 699 826 22
   Thorndike 1 1 195 214 2
   Topsfield 1 1 74 49 1
   Topsham 1 1 2,386 2,751 60
   Township 14 1 1 8 4 0
   Township 21 1 1 31 20 0
   Township 27 1 1 15 9 0
   Township 8, S.D. 1 1 28 20 0
   Tremont 1 1 444 558 11
   Trenton 1 1 391 435 11
   Trescott Twp 1 1 0 0 0
   Troy 1 1 287 255 8
   Turner 1 1 1,569 1,369 37
   Union 1 1 682 692 18
   Unity 1 1 589 591 20
   Upton 1 1 35 26 0
   Van Buren 1 1 218 955 9
   Vanceboro 1 1 50 66 0
   Vassalboro 1 1 1,047 1,046 18
   Veazie 1 1 527 524 10
   Verona 1 1 175 154 3
   Vienna 1 1 607 442 18
   Vinalhaven 1 1 249 519 7
   Wade 1 1 90 67 0
   Waite 1 1 31 25 3
   Waldo 1 1 205 205 6
   Waldoboro 1 1 1,387 1,348 29
   Wales 1 1 457 300 11
   Wallagrass 1 1 58 244 3
   Waltham 1 1 139 66 2
   Warren 1 1 1,029 858 23
   Washburn 1 1 494 354 1
   Washington 1 1 419 450 13
   Waterboro 1 1 1,713 1,701 35
   Waterford 1 1 439 478 15
   Waterville 1 1 1,803 3,356 71
   Wayne 1 1 295 439 1
   Webster Plt. 1 1 11 24 0
   Weld 1 1 125 152 6
   Wellington 1 1 50 99 2
   Wells 1 1 2,814 2,879 48
   Wesley 1 1 41 30 1
   West Bath 1 1 575 602 17
   West Forks Plt. 1 1 24 19 0
   West Gardiner 1 1 973 897 17
   West Paris 1 1 416 482 13
   Westbrook 6 6 3,722 5,016 80
   Westfield 1 1 170 121 3
   Westmanland 1 1 29 21 0
   Weston 1 1 94 42 2
   Westport 1 1 277 269 5
   Whitefield 1 1 585 709 11
   Whiting 1 1 159 172 4
   Whitneyville 1 1 65 47 2
   Willimantic 1 1 69 27 1
   Wilton 1 1 927 1,220 32
   Windham 3 3 4,549 4,393 77
   Windsor 1 1 710 552 14
   Winn 1 1 131 88 3
   Winslow 1 1 1,799 2,492 46
   Winter Harbor 1 1 163 166 9
   Winterport 1 1 1,107 1,054 21
   Winterville Plt. 1 1 34 90 2
   Winthrop 1 1 1,724 1,820 49
   Wiscasset 1 1 1,083 1,070 18
   Woodland 1 1 338 306 6
   Woodstock 1 1 422 344 2
   Woodville 1 1 66 59 1
   Woolwich 1 1 922 920 19
   Yarmouth 1 1 2,327 3,185 41
   York 1 1 3,793 4,647 73
