"Obama" "Clinton"
"Hampton, NH" 1295 1700
"Hampton Falls, NH" 176 146
"Hancock, NH" 331 139
"Hanover, NH" 2779 1248
"Harrisville, NH" 213 142
"Harts Location, NH" 9 3
"Haverhill, NH" 223 198
"Hebron, NH" 47 41
"Henniker, NH" 447 335
"Hill, NH" 63 83
"Hillsborough, NH" 414 401
"Hinsdale, NH" 256 331
"Holderness, NH" 233 207
"Hollis, NH" 792 683
"Hooksett, NH" 812 1100
"Hopkinton, NH" 898 526
"Hudson, NH" 1353 1997
"Jackson, NH" 174 108
"Jaffrey, NH" 460 462
"Jefferson, NH" 74 74
"Keene, NH" 2553 1922
"Kensington, NH" 182 212
"Kingston, NH" 342 488
"Laconia, NH" 1163 1216
"Lancaster, NH" 223 186
"Landaff, NH" 40 21
"Langdon, NH" 61 60
"Lebanon, NH" 1441 1121
"Lee, NH" 466 484
"Lempster, NH" 85 75
"Lincoln, NH" 105 127
"Lisbon, NH" 100 89
"Litchfield, NH" 503 674
"Littleton, NH" 457 332
"Londonderry, NH" 1803 1958
"Loudon, NH" 327 409
"Lyman, NH" 47 34
"Lyme, NH" 381 154
"Lyndeborough, NH" 124 156
"Madbury, NH" 209 207
"Madison, NH" 257 234
"Manchester, NH" 6382 9492
"Marlborough, NH" 305 188
"Marlow, NH" 65 79
"Mason, NH" 91 108
"Meredith, NH" 589 513
"Merrimack, NH" 1954 2325
"Middleton, NH" 78 170
"Milan, NH" 85 132
"Milford, NH" 1052 1092
"Millsfield, NH" 1 4
"Milton, NH" 235 389
"Monroe, NH" 49 48
"Mont Vernon, NH" 232 201
"Moultonborough, NH" 416 298
"Nashua, NH" 5597 7713
"Nelson, NH" 122 33
"New Boston, NH" 482 366
"Newbury, NH" 228 183
"New Castle, NH" 190 90
"New Durham, NH" 194 209
"Newfields, NH" 175 159
"New Hampton, NH" 180 187
"Newington, NH" 83 88
"New Ipswich, NH" 211 277
"New London, NH" 574 306
"Newmarket, NH" 925 940
"Newport, NH" 422 470
"Newton, NH" 259 430
"Northfield, NH" 298 346
"North Hampton, NH" 452 430
"Northumberland, NH" 129 208
"Northwood, NH" 317 372
"Nottingham, NH" 359 391
"Orange, NH" 35 24
"Orford, NH" 165 84
"Ossipee, NH" 261 281
"Pelham, NH" 721 1260
"Pembroke, NH" 493 605
"Peterborough, NH" 979 549
"Piermont, NH" 81 67
"Pittsburg, NH" 49 52
"Pittsfield, NH" 255 272
"Plainfield, NH" 378 194
"Plaistow, NH" 389 699
"Plymouth, NH" 648 394
"Portsmouth, NH" 2807 2368
"Randolph, NH" 57 30
"Raymond, NH" 473 797
"Richmond, NH" 106 99
"Rindge, NH" 348 381
"Rochester, NH" 1796 2682
"Rollinsford, NH" 224 304
"Roxbury, NH" 50 22
"Rumney, NH" 116 101
"Rye, NH" 713 498
"Salem, NH" 1508 2867
"Salisbury, NH" 117 116
"Sanbornton, NH" 278 252
"Sandown, NH" 300 451
"Sandwich, NH" 211 120
"Seabrook, NH" 330 845
"Sharon, NH" 80 33
"Shelburne, NH" 39 43
"Somersworth, NH" 767 1249
"South Hampton, NH" 55 107
"Springfield, NH" 143 86
"Stark, NH" 34 42
"Stewartstown, NH" 48 73
"Stoddard, NH" 105 91
"Strafford, NH" 295 349
"Stratford, NH" 34 61
"Stratham, NH" 802 674
"Sugar Hill, NH" 104 62
"Sullivan, NH" 71 74
"Sunapee, NH" 348 252
"Surry, NH" 90 69
"Sutton, NH" 250 154
"Swanzey, NH" 553 603
"Tamworth, NH" 269 184
"Temple, NH" 199 97
"Thornton, NH" 202 217
"Tilton, NH" 282 281
"Troy, NH" 159 215
"Tuftonboro, NH" 236 165
"Unity, NH" 107 107
"Wakefield, NH" 238 363
"Walpole, NH" 489 319
"Warner, NH" 303 238
"Warren, NH" 39 77
"Washington, NH" 77 58
"Waterville, NH" 53 33
"Weare, NH" 580 630
"Webster, NH" 191 181
"Wentworth, NH" 53 65
"Wentworth's Location, NH" 0 1
"Westmoreland, NH" 213 128
"Whitefield, NH" 137 155
"Wilmot, NH" 207 87
"Wilton, NH" 386 284
"Winchester, NH" 236 403
"Windham, NH" 819 1069
"Windsor, NH" 15 13
"Wolfeboro, NH" 640 517
"Woodstock, NH" 115 112
"Atlantic, NJ" 13002 14339
"Bergen, NJ" 43504 66548
"Burlington, NJ" 29963 32299
"Camden, NJ" 37587 49091
"Cape May, NJ" 3499 5643
"Cumberland, NJ" 6337 8808
"Essex, NJ" 72917 54991
"Gloucester, NJ" 15164 26062
"Hudson, NJ" 32562 56925
"Hunterdon, NJ" 6364 6121
"Mercer, NJ" 31086 24725
"Middlesex, NJ" 41229 58622
"Monmouth, NJ" 31852 39222
"Morris, NJ" 21860 25830
"Ocean, NJ" 17293 33880
"Passaic, NJ" 19837 31041
"Salem, NJ" 3024 4401
"Somerset, NJ" 18526 17559
"Sussex, NJ" 4935 5856
"Union, NJ" 38184 35945
"Warren, NJ" 3461 4668
"Congressional District 1, NM" 25784 24046
"Congressional District 2, NM" 14519 19789
"Congressional District 3, NM" 27235 24824
"Albany, NY" 13919 22354
"Allegany, NY" 643 1335
"Bronx, NY" 52916 84230
"Brooklyn, NY" 126885 131005
"Broome, NY" 5365 9793
"Cattaraugus, NY" 1302 3280
"Cayuga, NY" 1531 4270
"Chautauqua, NY" 2721 6170
"Chemung, NY" 1722 3855
"Chenango, NY" 837 1588
"Clinton, NY" 1312 3126
"Columbia, NY" 2189 2708
"Cortland, NY" 992 2204
"Delaware, NY" 934 1606
"Dutchess, NY" 9338 10202
"Erie, NY" 36168 59661
"Essex, NY" 849 1183
"Franklin, NY" 841 2162
"Fulton, NY" 521 1880
"Genesee, NY" 705 1937
"Greene, NY" 909 1408
"Hamilton, NY" 107 174
"Herkimer, NY" 914 2443
"Jefferson, NY" 1117 3584
"Lewis, NY" 307 809
"Livingston, NY" 1365 2409
"Madison, NY" 1229 2468
"Manhattan, NY" 114871 141199
"Monroe, NY" 28612 34159
"Montgomery, NY" 734 2350
"Nassau, NY" 38790 67918
"Niagara, NY" 5682 12779
"Oneida, NY" 4103 9307
"Onondaga, NY" 13173 22681
"Ontario, NY" 2314 4512
"Orange, NY" 9025 12678
"Orleans, NY" 410 1558
"Oswego, NY" 1355 4060
"Otsego, NY" 1401 2013
"Putnam, NY" 2575 3524
"Queens, NY" 74730 118530
"Rensselaer, NY" 3172 5719
"Rockland, NY" 11608 16986
"Saint Lawrence, NY" 1728 4908
"Saratoga, NY" 4620 7956
"Schenectady, NY" 3946 7727
"Schoharie, NY" 490 1083
"Schuyler, NY" 420 745
"Seneca, NY" 621 1740
"Staten Island, NY" 10606 17760
"Steuben, NY" 1417 3005
"Suffolk, NY" 29763 52724
"Sullivan, NY" 1821 3002
"Tioga, NY" 1013 1956
"Tompkins, NY" 6585 5755
"Ulster, NY" 7012 7401
"Warren, NY" 1130 2149
"Washington, NY" 1239 1850
"Wayne, NY" 1261 2812
"Westchester, NY" 43258 51193
"Wyoming, NY" 424 1113
"Yates, NY" 367 927
"Adams, ND" 0 0
"Barnes, ND" 0 0
"Benson, ND" 0 0
"Billings, ND" 0 0
"Bottineau, ND" 0 0
"Bowman, ND" 0 0
"Burke, ND" 0 0
"Burleigh, ND" 0 0
"Cass, ND" 0 0
"Cavalier, ND" 0 0
"Dickey, ND" 0 0
"Divide, ND" 0 0
"Dunn, ND" 0 0
"Eddy, ND" 0 0
"Emmons, ND" 0 0
"Foster, ND" 0 0
"Golden Valley, ND" 0 0
"Grand Forks, ND" 0 0
"Grant, ND" 0 0
"Griggs, ND" 0 0
"Hettinger, ND" 0 0
"Kidder, ND" 0 0
"LaMoure, ND" 0 0
"Logan, ND" 0 0
"McHenry, ND" 0 0
"McIntosh, ND" 0 0
"McKenzie, ND" 0 0
"McLean, ND" 0 0
"Mercer, ND" 0 0
"Morton, ND" 0 0
"Mountrail, ND" 0 0
"Nelson, ND" 0 0
"North Dakota, ND" 11625 6948
"Oliver, ND" 0 0
"Pembina, ND" 0 0
"Pierce, ND" 0 0
"Ramsey, ND" 0 0
"Ransom, ND" 0 0
"Renville, ND" 0 0
"Richland, ND" 0 0
"Rolette, ND" 0 0
"Sargent, ND" 0 0
"Sheridan, ND" 0 0
"Sioux, ND" 0 0
"Slope, ND" 0 0
"Stark, ND" 0 0
"Steele, ND" 0 0
"Stutsman, ND" 0 0
"Towner, ND" 0 0
"Traill, ND" 0 0
"Walsh, ND" 0 0
"Ward, ND" 0 0
"Wells, ND" 0 0
"Williams, ND" 0 0
"Adams, OH" 812 2793
"Allen, OH" 6499 7023
"Ashland, OH" 2501 3809
"Ashtabula, OH" 6137 12831
"Athens, OH" 5978 7019
"Auglaize, OH" 2012 2942
"Belmont, OH" 4514 13888
"Brown, OH" 1876 5352
"Butler, OH" 21409 26587
"Carroll, OH" 1651 3496
"Champaign, OH" 2197 3513
"Clark, OH" 10336 15751
"Clermont, OH" 9821 15850
"Clinton, OH" 1784 3153
"Columbiana, OH" 5433 14454
"Coshocton, OH" 1952 4054
"Crawford, OH" 2315 4050
"Cuyahoga, OH" 173902 150991
"Darke, OH" 2657 3882
"Defiance, OH" 2394 3230
"Delaware, OH" 14453 14205
"Erie, OH" 7231 9742
"Fairfield, OH" 9180 14316
"Fayette, OH" 1014 2439
"Franklin, OH" 115698 88293
"Fulton, OH" 2483 4070
"Gallia, OH" 861 3595
"Geauga, OH" 8299 10309
"Greene, OH" 11546 12365
"Guernsey, OH" 1467 3917
"Hamilton, OH" 91876 56231
"Hancock, OH" 3706 4781
"Hardin, OH" 1202 2474
"Harrison, OH" 951 2732
"Henry, OH" 1755 2485
"Highland, OH" 1417 4016
"Hocking, OH" 1701 3747
"Holmes, OH" 1076 1477
"Huron, OH" 2629 4536
"Jackson, OH" 788 3818
"Jefferson, OH" 5090 11992
"Knox, OH" 3484 4595
"Lake, OH" 16713 29092
"Lawrence, OH" 2076 8407
"Licking, OH" 10649 16836
"Logan, OH" 2154 3147
"Lorain, OH" 25706 36138
"Lucas, OH" 45377 50902
"Madison, OH" 1544 3120
"Mahoning, OH" 26703 49798
"Marion, OH" 3427 6961
"Medina, OH" 11946 19123
"Meigs, OH" 733 2774
"Mercer, OH" 2230 2822
"Miami, OH" 6312 8817
"Monroe, OH" 1006 3157
"Montgomery, OH" 60698 50222
"Morgan, OH" 622 1566
"Morrow, OH" 1776 3496
"Muskingum, OH" 4224 9263
"Noble, OH" 522 1637
"Ottawa, OH" 3379 5841
"Paulding, OH" 824 1826
"Perry, OH" 1427 4709
"Pickaway, OH" 2504 5912
"Pike, OH" 1140 4216
"Portage, OH" 12886 20222
"Preble, OH" 1977 4291
"Putnam, OH" 2021 2433
"Richland, OH" 8693 12148
"Ross, OH" 3712 9190
"Sandusky, OH" 4400 6461
"Scioto, OH" 2420 12067
"Seneca, OH" 3688 5400
"Shelby, OH" 2698 4037
"Stark, OH" 30800 47415
"Summit, OH" 54502 69435
"Trumbull, OH" 19544 42594
"Tuscarawas, OH" 6381 12228
"Union, OH" 2652 3733
"Van Wert, OH" 1239 2089
"Vinton, OH" 448 1887
"Warren, OH" 11785 15551
"Washington, OH" 3007 8159
"Wayne, OH" 6055 9495
"Williams, OH" 2131 2948
"Wood, OH" 8995 13693
"Wyandot, OH" 1212 1745
"Adair, OK" 395 1704
"Alfalfa, OK" 164 287
"Atoka, OK" 307 1392
"Beaver, OK" 109 118
"Beckham, OK" 519 1262
"Blaine, OK" 308 642
"Bryan, OK" 1043 3532
"Caddo, OK" 892 2478
"Canadian, OK" 2620 4787
"Carter, OK" 1562 3467
"Cherokee, OK" 1481 4319
"Choctaw, OK" 576 1579
"Cimarron, OK" 82 97
"Cleveland, OK" 9529 12976
"Coal, OK" 184 674
"Comanche, OK" 3628 5117
"Cotton, OK" 239 649
"Craig, OK" 569 1677
"Creek, OK" 1821 5230
"Custer, OK" 860 1545
"Delaware, OK" 1176 3488
"Dewey, OK" 215 350
"Ellis, OK" 130 244
"Garfield, OK" 1334 2597
"Garvin, OK" 922 2648
"Grady, OK" 1414 3554
"Grant, OK" 199 330
"Greer, OK" 280 551
"Harmon, OK" 154 310
"Harper, OK" 139 162
"Haskell, OK" 410 1666
"Hughes, OK" 419 1576
"Jackson, OK" 648 1330
"Jefferson, OK" 225 700
"Johnston, OK" 403 1181
"Kay, OK" 1291 2523
"Kingfisher, OK" 366 685
"Kiowa, OK" 401 1006
"Latimer, OK" 338 1207
"LeFlore, OK" 1418 4478
"Lincoln, OK" 971 2600
"Logan, OK" 1378 1809
"Love, OK" 336 1159
"Major, OK" 175 327
"Marshall, OK" 450 1276
"Mayes, OK" 1061 4139
"McClain, OK" 976 2454
"McCurtain, OK" 875 2108
"McIntosh, OK" 819 2671
"Murray, OK" 483 1619
"Muskogee, OK" 3145 6753
"Noble, OK" 401 731
"Nowata, OK" 295 1007
"Okfuskee, OK" 476 1113
"Oklahoma, OK" 31890 29238
"Okmulgee, OK" 1574 3792
"Osage, OK" 2478 3772
"Ottawa, OK" 932 2622
"Pawnee, OK" 531 1327
"Payne, OK" 2790 3646
"Pittsburg, OK" 1557 4264
"Pontotoc, OK" 1290 3125
"Pottawatomie, OK" 2122 4955
"Pushmataha, OK" 463 1528
"Roger Mills, OK" 168 311
"Rogers, OK" 2469 6029
"Seminole, OK" 853 2074
"Sequoyah, OK" 1080 3946
"Stephens, OK" 1351 3671
"Texas, OK" 260 391
"Tillman, OK" 298 773
"Tulsa, OK" 22873 29362
"Wagoner, OK" 1901 4713
"Washington, OK" 1448 2695
"Washita, OK" 446 987
"Woods, OK" 264 456
"Woodward, OK" 438 864
"Adams, PA" 4708 6541
"Allegheny, PA" 141596 169073
"Armstrong, PA" 2816 7101
"Beaver, PA" 12184 28205
"Bedford, PA" 1563 3691
"Berks, PA" 25270 35122
"Blair, PA" 4654 8630
"Bradford, PA" 2010 3869
"Bucks, PA" 42869 71830
"Butler, PA" 8521 14771
"Cambria, PA" 8882 22761
"Cameron, PA" 266 389
"Carbon, PA" 2810 7908
"Centre, PA" 14170 9404
"Chester, PA" 40411 32814
"Clarion, PA" 1711 3372
"Clearfield, PA" 3763 8167
"Clinton, PA" 1617 3534
"Columbia, PA" 3517 5362
"Crawford, PA" 4189 7134
"Cumberland, PA" 14228 15829
"Dauphin, PA" 25543 18348
"Delaware, PA" 52380 41944
"Elk, PA" 2175 4020
"Erie, PA" 20451 34884
"Fayette, PA" 6167 23057
"Forest, PA" 284 610
"Franklin, PA" 5455 7877
"Fulton, PA" 452 961
"Greene, PA" 1961 6017
"Huntingdon, PA" 1770 2955
"Indiana, PA" 4392 7832
"Jefferson, PA" 1765 3069
"Juniata, PA" 781 1710
"Lackawanna, PA" 15272 43067
"Lancaster, PA" 27126 22710
"Lawrence, PA" 4541 13202
"Lebanon, PA" 5772 7316
"Lehigh, PA" 21793 33134
"Luzerne, PA" 15975 48075
"Lycoming, PA" 5626 7937
"McKean, PA" 1248 2439
"Mercer, PA" 6073 13665
"Mifflin, PA" 1288 2987
"Monroe, PA" 8752 11850
"Montgomery, PA" 75682 77886
"Montour, PA" 971 1479
"Northampton, PA" 19893 31583
"Northumberland, PA" 3242 8196
"Perry, PA" 1623 2613
"Philadelphia, PA" 282140 150534
"Pike, PA" 2550 3620
"Potter, PA" 567 1047
"Schuylkill, PA" 5517 15355
"Snyder, PA" 1093 1824
"Somerset, PA" 3235 8510
"Sullivan, PA" 313 679
"Susquehanna, PA" 1769 3322
"Tioga, PA" 1343 2161
"Union, PA" 2311 2121
"Venango, PA" 1957 4295
"Warren, PA" 2040 4001
"Washington, PA" 12432 30985
"Wayne, PA" 1955 3254
"Westmoreland, PA" 22189 50287
"Wyoming, PA" 1059 2407
"York, PA" 23542 29112
"Barrington, RI" 2031 1874
"Bristol, RI" 1486 2426
"Burrillville, RI" 704 1427
"Central Falls, RI" 550 1343
"Charlestown, RI" 682 697
"Coventry, RI" 2152 3736
"Cranston, RI" 4992 8761
"Cumberland, RI" 2587 4537
"East Greenwich, RI" 1227 1168
"East Providence, RI" 3950 5614
"Exeter, RI" 439 492
"Foster, RI" 304 377
"Glocester, RI" 605 907
"Hopkinton, RI" 519 580
"Jamestown, RI" 815 644
"Johnston, RI" 1539 5018
"Lincoln, RI" 1456 2560
"Little Compton, RI" 436 327
"Mail Ballots, CD1, RI" 982 1429
"Mail Ballots, CD2, RI" 744 1154
"Middletown, RI" 1096 1195
"Narragansett, RI" 1361 1549
"Newport, RI" 2162 1777
"New Shoreham, RI" 209 117
"North Kingstown, RI" 2451 2528
"North Providence, RI" 2332 5566
"North Smithfield, RI" 693 1369
"Pawtucket, RI" 4062 7253
"Portsmouth, RI" 1470 1657
"Providence, RI" 13140 12245
"Richmond, RI" 505 662
"Scituate, RI" 593 939
"Smithfield, RI" 1205 2343
"South Kingstown, RI" 2776 2401
"Tiverton, RI" 1030 1950
"Warren, RI" 742 1256
"Warwick, RI" 6240 10010
"Westerly, RI" 1320 1817
"West Greenwich, RI" 353 550
"West Warwick, RI" 1348 2790
"Woonsocket, RI" 1827 3705
"Abbeville, SC" 1989 733
"Aiken, SC" 7722 4881
"Allendale, SC" 933 388
"Anderson, SC" 6253 5459
"Bamberg, SC" 1720 751
"Barnwell, SC" 1632 820
"Beaufort, SC" 9531 5108
"Berkeley, SC" 9843 3870
"Calhoun, SC" 1605 699
"Charleston, SC" 29951 11256
"Cherokee, SC" 1994 1231
"Chester, SC" 2550 1087
"Chesterfield, SC" 2732 1466
"Clarendon, SC" 4043 1149
"Colleton, SC" 2954 1112
"Darlington, SC" 5663 1911
"Dillon, SC" 2749 814
"Dorchester, SC" 7146 3223
"Edgefield, SC" 1906 754
"Fairfield, SC" 3410 996
"Florence, SC" 10759 3699
"Georgetown, SC" 5323 1950
"Greenville, SC" 21371 11857
"Greenwood, SC" 4308 1507
"Hampton, SC" 2231 726
"Horry, SC" 8503 9937
"Jasper, SC" 2285 577
"Kershaw, SC" 4249 2221
"Lancaster, SC" 3495 2312
"Laurens, SC" 3561 1541
"Lee, SC" 2667 649
"Lexington, SC" 9274 7871
"Marion, SC" 4627 955
"Marlboro, SC" 2454 989
"McCormick, SC" 1189 382
"Newberry, SC" 2209 1200
"Oconee, SC" 1872 2098
"Orangeburg, SC" 14168 5316
"Pickens, SC" 2901 2516
"Richland, SC" 41898 14828
"Saluda, SC" 1271 659
"Spartanburg, SC" 11245 7717
"Sumter, SC" 10651 2852
"Union, SC" 2038 904
"Williamsburg, SC" 5369 1266
"York, SC" 8847 6891
"Anderson, TN" 2558 4886
"Bedford, TN" 900 2934
"Benton, TN" 368 2199
"Bledsoe, TN" 195 1399
"Blount, TN" 3086 5713
"Bradley, TN" 1625 4139
"Campbell, TN" 326 2854
"Cannon, TN" 264 1572
"Carroll, TN" 709 1982
"Carter, TN" 745 2366
"Cheatham, TN" 814 2751
"Chester, TN" 299 832
"Claiborne, TN" 276 2138
"Clay, TN" 105 868
"Cocke, TN" 432 1845
"Coffee, TN" 1110 4163
"Crockett, TN" 358 1121
"Cumberland, TN" 1709 4549
"Davidson, TN" 49862 32067
"Decatur, TN" 164 1189
"DeKalb, TN" 347 2410
"Dickson, TN" 974 4166
"Dyer, TN" 651 2009
"Fayette, TN" 1643 1294
"Fentress, TN" 180 1249
"Franklin, TN" 1326 4087
"Gibson, TN" 1702 3450
"Giles, TN" 866 2528
"Grainger, TN" 249 1341
"Greene, TN" 1038 3181
"Grundy, TN" 158 1931
"Hamblen, TN" 1094 3302
"Hamilton, TN" 19831 16562
"Hancock, TN" 56 240
"Hardeman, TN" 1766 1516
"Hardin, TN" 311 1696
"Hawkins, TN" 564 2422
"Haywood, TN" 1142 688
"Henderson, TN" 442 1251
"Henry, TN" 1005 2706
"Hickman, TN" 446 2171
"Houston, TN" 150 1070
"Humphreys, TN" 280 2499
"Jackson, TN" 212 1723
"Jefferson, TN" 775 2470
"Johnson, TN" 214 600
"Knox, TN" 16639 18693
"Lake, TN" 136 461
"Lauderdale, TN" 886 1570
"Lawrence, TN" 532 3200
"Lewis, TN" 231 952
"Lincoln, TN" 706 2464
"Loudon, TN" 1027 2459
"Macon, TN" 144 1213
"Madison, TN" 5123 3433
"Marion, TN" 688 3496
"Marshall, TN" 180 133
"Maury, TN" 2420 4543
"McMinn, TN" 897 2637
"McNairy, TN" 342 1608
"Meigs, TN" 171 877
"Monroe, TN" 718 2628
"Montgomery, TN" 5593 6694
"Moore, TN" 141 518
"Morgan, TN" 204 1331
"Obion, TN" 801 2684
"Overton, TN" 322 3011
"Perry, TN" 152 1098
"Pickett, TN" 66 572
"Polk, TN" 348 2154
"Putnam, TN" 1758 5546
"Rhea, TN" 405 2026
"Roane, TN" 1350 3733
"Robertson, TN" 1523 4478
"Rutherford, TN" 9033 11011
"Scott, TN" 131 1252
"Sequatchie, TN" 210 1067
"Sevier, TN" 1245 3568
"Shelby, TN" 68516 27914
"Smith, TN" 343 2385
"Stewart, TN" 248 1613
"Sullivan, TN" 2541 6162
"Sumner, TN" 3993 8605
"Tipton, TN" 1355 2000
"Trousdale, TN" 222 778
"Unicoi, TN" 205 736
"Union, TN" 155 1322
"Van Buren, TN" 90 682
"Warren, TN" 666 4113
"Washington, TN" 3258 5731
"Wayne, TN" 114 868
"Weakley, TN" 753 2273
"White, TN" 358 2577
"Williamson, TN" 7246 6935
"Wilson, TN" 3218 6666
"Anderson, TX" 2159 2951
"Andrews, TX" 448 674
"Angelina, TX" 4329 7714
"Aransas, TX" 1018 1402
"Archer, TX" 295 785
"Armstrong, TX" 0 0
"Atascosa, TX" 1971 3450
"Austin, TX" 1218 1746
"Bailey, TX" 175 306
"Bandera, TX" 783 954
"Bastrop, TX" 5400 5565
"Baylor, TX" 186 613
"Bee, TX" 1429 2724
"Bell, TX" 13375 9710
"Bexar, TX" 87594 114440
"Blanco, TX" 698 675
"Borden, TX" 32 93
"Bosque, TX" 943 1896
"Bowie, TX" 3237 6224
"Brazoria, TX" 14192 14632
"Brazos, TX" 7822 5853
"Brewster, TX" 1153 968
"Briscoe, TX" 89 164
"Brooks, TX" 763 2294
"Brown, TX" 803 1717
"Burleson, TX" 826 1335
"Burnet, TX" 1806 2451
"Caldwell, TX" 2248 2731
"Calhoun, TX" 1252 2222
"Callahan, TX" 527 848
"Cameron, TX" 14809 32788
"Camp, TX" 847 953
"Carson, TX" 148 399
"Cass, TX" 1463 3692
"Castro, TX" 303 581
"Chambers, TX" 1338 1957
"Cherokee, TX" 2121 2947
"Childress, TX" 173 433
"Clay, TX" 459 1436
"Cochran, TX" 116 184
"Coke, TX" 226 405
"Coleman, TX" 164 503
"Collin, TX" 40000 31994
"Collingsworth, TX" 156 332
"Colorado, TX" 1188 1693
"Comal, TX" 4813 5042
"Comanche, TX" 553 1345
"Concho, TX" 111 212
"Cooke, TX" 987 1738
"Coryell, TX" 2434 2434
"Cottle, TX" 113 276
"Crane, TX" 235 282
"Crockett, TX" 414 566
"Crosby, TX" 373 641
"Culberson, TX" 175 312
"Dallam, TX" 88 135
"Dallas, TX" 182369 113361
"Dawson, TX" 402 777
"Deaf Smith, TX" 336 604
"Delta, TX" 219 656
"Denton, TX" 30374 24045
"De Witt, TX" 696 993
"Dickens, TX" 194 335
"Dimmit, TX" 886 2149
"Donley, TX" 119 297
"Duval, TX" 988 3913
"Eastland, TX" 271 820
"Ector, TX" 2717 5347
"Edwards, TX" 131 175
"Ellis, TX" 5583 6836
"El Paso, TX" 29974 71229
"Erath, TX" 971 1696
"Falls, TX" 1188 1335
"Fannin, TX" 1115 2976
"Fayette, TX" 2087 3068
"Fisher, TX" 304 751
"Floyd, TX" 213 345
"Foard, TX" 108 264
"Fort Bend, TX" 43893 25670
"Franklin, TX" 313 798
"Freestone, TX" 1100 1551
"Frio, TX" 1348 2650
"Gaines, TX" 197 373
"Galveston, TX" 18394 20334
"Garza, TX" 226 316
"Gillespie, TX" 1067 953
"Glasscock, TX" 8 11
"Goliad, TX" 509 722
"Gonzales, TX" 1254 1563
"Gray, TX" 421 738
"Grayson, TX" 4358 7431
"Gregg, TX" 6503 4580
"Grimes, TX" 1206 1546
"Guadalupe, TX" 6468 5943
"Hale, TX" 872 1314
"Hall, TX" 205 493
"Hamilton, TX" 507 800
"Hansford, TX" 0 0
"Hardeman, TX" 246 640
"Hardin, TX" 2090 6045
"Harris, TX" 227886 175724
"Harrison, TX" 4055 4738
"Hartley, TX" 87 215
"Haskell, TX" 293 897
"Hays, TX" 11252 8593
"Hemphill, TX" 37 81
"Henderson, TX" 2815 5260
"Hidalgo, TX" 21978 61581
"Hill, TX" 1122 2643
"Hockley, TX" 503 809
"Hood, TX" 1692 3069
"Hopkins, TX" 1385 2898
"Houston, TX" 1377 1485
"Howard, TX" 751 1459
"Hudspeth, TX" 140 290
"Hunt, TX" 2839 4664
"Hutchinson, TX" 410 852
"Irion, TX" 208 234
"Jack, TX" 241 492
"Jackson, TX" 697 1106
"Jasper, TX" 2208 4086
"Jeff Davis, TX" 300 312
"Jefferson, TX" 24721 17242
"Jim Hogg, TX" 470 1726
"Jim Wells, TX" 2502 7033
"Johnson, TX" 2142 4857
"Jones, TX" 523 1448
"Karnes, TX" 1101 1615
"Kaufman, TX" 4176 5462
"Kendall, TX" 1577 1294
"Kenedy, TX" 50 121
"Kent, TX" 52 152
"Kerr, TX" 2302 2195
"Kimble, TX" 111 167
"King, TX" 27 36
"Kinney, TX" 412 502
"Kleberg, TX" 1907 3805
"Knox, TX" 151 366
"Lamar, TX" 2801 5566
"Lamb, TX" 417 806
"Lampasas, TX" 672 899
"La Salle, TX" 467 845
"La Vaca, TX" 1230 2537
"Lee, TX" 1197 1535
"Leon, TX" 623 1299
"Liberty, TX" 2837 5171
"Limestone, TX" 1537 1932
"Lipscomb, TX" 57 146
"Live Oak, TX" 444 887
"Llano, TX" 436 608
"Loving, TX" 7 5
"Lubbock, TX" 10965 12638
"Lynn, TX" 178 431
"Madison, TX" 535 796
"Marion, TX" 888 1202
"Martin, TX" 148 284
"Mason, TX" 198 201
"Matagorda, TX" 2639 3353
"Maverick, TX" 2393 6970
"McCulloch, TX" 239 523
"McLennan, TX" 11861 12275
"McMullen, TX" 140 170
"Medina, TX" 1605 2651
"Menard, TX" 105 188
"Midland, TX" 3601 3867
"Milam, TX" 1668 2749
"Mills, TX" 333 633
"Mitchell, TX" 280 665
"Montague, TX" 588 1709
"Montgomery, TX" 13429 17277
"Moore, TX" 278 549
"Morris, TX" 967 1637
"Motley, TX" 44 97
"Nacogdoches, TX" 2788 3005
"Navarro, TX" 2395 3289
"Newton, TX" 818 1641
"Nolan, TX" 885 1746
"Nueces, TX" 16252 32125
"Ochiltree, TX" 44 72
"Oldham, TX" 70 125
"Orange, TX" 4143 10317
"Palo Pinto, TX" 807 2148
"Panola, TX" 1440 2887
"Parker, TX" 2995 6003
"Parmer, TX" 248 367
"Pecos, TX" 624 1119
"Polk, TX" 2078 4004
"Potter, TX" 2994 4080
"Presidio, TX" 636 977
"Rains, TX" 399 1095
"Randall, TX" 3672 5894
"Reagan, TX" 26 44
"Real, TX" 75 125
"Red River, TX" 854 2045
"Reeves, TX" 628 1438
"Refugio, TX" 815 1178
"Roberts, TX" 0 0
"Robertson, TX" 1579 1744
"Rockwall, TX" 3885 3982
"Runnels, TX" 393 686
"Rusk, TX" 2398 2550
"Sabine, TX" 668 1762
"San Augustine, TX" 972 1498
"San Jacinto, TX" 1462 2475
"San Patricio, TX" 2791 6319
"San Saba, TX" 143 351
"Schleicher, TX" 140 185
"Scurry, TX" 292 643
"Shackelford, TX" 156 451
"Shelby, TX" 1044 2416
"Sherman, TX" 66 118
"Smith, TX" 11125 7401
"Somervell, TX" 348 702
"Starr, TX" 1395 7468
"Stephens, TX" 326 709
"Sterling, TX" 17 64
