"Obama" "Clinton"
"McDonough, IL" 1952 887
"McHenry, IL" 19040 10775
"McLean, IL" 12426 4402
"Menard, IL" 747 425
"Mercer, IL" 1604 937
"Monroe, IL" 2059 2015
"Montgomery, IL" 1662 1555
"Morgan, IL" 2018 1018
"Moultrie, IL" 894 616
"Ogle, IL" 3225 1999
"Peoria, IL" 14979 6897
"Perry, IL" 1349 1546
"Piatt, IL" 1194 713
"Pike, IL" 911 755
"Pope, IL" 242 333
"Pulaski, IL" 640 380
"Putnam, IL" 586 456
"Randolph, IL" 2538 1996
"Richland, IL" 1010 628
"Rock Island, IL" 15794 8855
"Saline, IL" 2102 2399
"Sangamon, IL" 14774 5001
"Schuyler, IL" 583 358
"Scott, IL" 358 228
"Shelby, IL" 1561 1236
"St. Clair, IL" 27872 12017
"Stark, IL" 387 199
"Stephenson, IL" 3319 1680
"Tazewell, IL" 8634 5857
"Union, IL" 1721 2151
"Vermilion, IL" 4434 3238
"Wabash, IL" 626 558
"Warren, IL" 1181 686
"Washington, IL" 863 833
"Wayne, IL" 830 795
"White, IL" 1098 1106
"Whiteside, IL" 3905 2357
"Will, IL" 51101 32857
"Williamson, IL" 4338 4306
"Winnebago, IL" 20487 11613
"Woodford, IL" 8969 6324
"Adair, IA" 1 1
"Adams, IA" 0 1
"Allamakee, IA" 4 3
"Appanoose, IA" 1 3
"Audubon, IA" 1 1
"Benton, IA" 6 6
"Black Hawk, IA" 49 32
"Boone, IA" 7 8
"Bremer, IA" 7 5
"Buchanan, IA" 7 6
"Buena Vista, IA" 4 3
"Butler, IA" 3 3
"Calhoun, IA" 2 2
"Carroll, IA" 5 4
"Cass, IA" 2 2
"Cedar, IA" 6 4
"Cerro Gordo, IA" 13 17
"Cherokee, IA" 3 3
"Chickasaw, IA" 4 4
"Clarke, IA" 1 2
"Clay, IA" 4 3
"Clayton, IA" 6 4
"Clinton, IA" 16 15
"Crawford, IA" 2 3
"Dallas, IA" 13 9
"Davis, IA" 1 1
"Decatur, IA" 1 1
"Delaware, IA" 5 4
"Des Moines, IA" 16 12
"Dickinson, IA" 5 4
"Dubuque, IA" 32 27
"Emmet, IA" 2 2
"Fayette, IA" 6 4
"Floyd, IA" 4 5
"Franklin, IA" 2 2
"Fremont, IA" 1 2
"Greene, IA" 2 1
"Grundy, IA" 3 2
"Guthrie, IA" 2 2
"Hamilton, IA" 5 4
"Hancock, IA" 2 3
"Hardin, IA" 5 4
"Harrison, IA" 2 4
"Henry, IA" 5 3
"Howard, IA" 2 3
"Humboldt, IA" 2 2
"Ida, IA" 1 1
"Iowa, IA" 5 3
"Jackson, IA" 8 5
"Jasper, IA" 8 9
"Jefferson, IA" 6 2
"Johnson, IA" 71 28
"Jones, IA" 6 5
"Keokuk, IA" 1 2
"Kossuth, IA" 5 3
"Lee, IA" 10 12
"Linn, IA" 86 56
"Louisa, IA" 2 2
"Lucas, IA" 1 2
"Lyon, IA" 1 1
"Madison, IA" 3 2
"Mahaska, IA" 3 4
"Marion, IA" 8 7
"Marshall, IA" 12 9
"Mills, IA" 1 2
"Mitchell, IA" 3 3
"Monona, IA" 2 3
"Monroe, IA" 1 1
"Montgomery, IA" 2 2
"Muscatine, IA" 14 10
"O'Brien, IA" 1 2
"Osceola, IA" 0 1
"Page, IA" 2 2
"Palo Alto, IA" 2 2
"Plymouth, IA" 5 4
"Pocahontas, IA" 1 1
"Polk, IA" 140 99
"Pottawattamie, IA" 14 23
"Poweshiek, IA" 7 3
"Ringgold, IA" 0 1
"Sac, IA" 2 2
"Scott, IA" 68 41
"Shelby, IA" 2 2
"Sioux, IA" 2 2
"Story, IA" 31 17
"Tama, IA" 5 4
"Taylor, IA" 1 1
"Union, IA" 2 3
"Van Buren, IA" 0 1
"Wapello, IA" 7 9
"Warren, IA" 12 9
"Washington, IA" 6 4
"Wayne, IA" 0 1
"Webster, IA" 10 9
"Winnebago, IA" 2 3
"Winneshiek, IA" 7 3
"Woodbury, IA" 24 24
"Worth, IA" 2 2
"Wright, IA" 3 3
"Congressional District 1, KS" 2404 1002
